chapter,title,env,source_type,source_path,image_count
appendix,1.5 1.6,note,md,近世代数/近世代数/无标题/1 5 1 6 1ead2efa3f42800d8ce5e3bfbf4c3c5e.md,0
appendix,maki完美算术,note,md,近世代数/近世代数/无标题/maki完美算术 1c4d2efa3f42808f9aa7ffb283e08616.md,0
appendix,命题2.10,proposition,md,近世代数/近世代数/无标题/命题2 10 209d2efa3f4280f7a74ac9f1898d47da.md,1
appendix,基本概念,note,md,近世代数/近世代数/无标题/基本概念 1c3d2efa3f4280648bdcd081c8508c78.md,0
appendix,定理4,theorem,md,近世代数/近世代数/无标题/定理4 1edd2efa3f4280a1a7f6f5906ff4407d.md,1
appendix,当时月影已不复,note,md,近世代数/近世代数/无标题/当时月影已不复 1c4d2efa3f428027a49ef0a8e75ed791.md,0
appendix,教程,note,md,近世代数/近世代数/无标题/教程 1a0d2efa3f428048bfcff3fa4cfa7a94.md,0
appendix,无标题,note,md,近世代数/近世代数/无标题/无标题 1b5d2efa3f428047a266cc3033c3e6d4.md,0
appendix,无标题,note,md,近世代数/近世代数/无标题/无标题 20ad2efa3f4280639292c088afa9cce1.md,0
appendix,杂知识,note,md,近世代数/近世代数/无标题/杂知识 20ed2efa3f4280118b08e4bdc28f1b75.md,1
appendix,第三章,note,md,近世代数/近世代数/无标题/第三章 1ecd2efa3f4280c7a6b0ea0de416c09f.md,0
appendix,考前必看,note,md,近世代数/近世代数/无标题/考前必看 20ed2efa3f42809dbc47ebd433ba4dcb.md,0
appendix,蔷薇科普朗克,note,md,近世代数/近世代数/无标题/蔷薇科普朗克 1c4d2efa3f42806c99bec64a1ecd7a78.md,0
appendix,证明,proof,md,近世代数/近世代数/无标题/证明 1edd2efa3f4280e090e4d05710609507.md,2
chapter1,1.10阿贝尔群,note,md,近世代数/近世代数/无标题/1 10阿贝尔群 1cbd2efa3f4280bfa73dc117dd0d632c.md,1
chapter1,1.1幺半群,note,md,近世代数/近世代数/无标题/1 1幺半群 1cad2efa3f4280628789c382df95fdc5.md,0
chapter1,1.2群,note,md,近世代数/近世代数/无标题/1 2群 1ecd2efa3f4280cf8df9c881d186f2a4.md,0
chapter1,1.3有限群,note,md,近世代数/近世代数/无标题/1 3有限群 1ead2efa3f4280c39a49d8b0af9aec03.md,0
chapter1,1.4正规子群,note,md,近世代数/近世代数/无标题/1 4正规子群 1ead2efa3f428095a412e65ae0862a5d.md,0
chapter1,4元群,note,md,近世代数/近世代数/无标题/4元群 209d2efa3f42801c9f8ef20ec54114ef.md,3
chapter1,a和a的逆阶数一样,note,md,近世代数/近世代数/无标题/a和a的逆阶数一样 1b1d2efa3f4280c9848ef6cf1a5a43d6.md,1
chapter1,n次对称群S_n的阶是n！,note,md,近世代数/近世代数/无标题/n次对称群S_n的阶是n！ 1bad2efa3f4280749db7c5ede391c5b3.md,1
chapter1,不变子群的中心,note,md,近世代数/近世代数/无标题/不变子群的中心 1cad2efa3f428043b357e2e9c7c9ce6b.md,1
chapter1,不变子群的陪集叫商群,note,md,近世代数/近世代数/无标题/不变子群的陪集叫商群 1cad2efa3f428038a9add2a529077225.md,1
chapter1,交换群 阿贝尔群,note,md,近世代数/近世代数/无标题/交换群 阿贝尔群 1aed2efa3f4280cdbde1e3cd83d58bc8.md,3
chapter1,代数运算,note,md,近世代数/近世代数/无标题/代数运算 1aed2efa3f4280d597defe353a625299.md,0
chapter1,代数运算定义,definition,md,近世代数/近世代数/无标题/代数运算定义 1a1d2efa3f42801bb126f612f365d13b.md,2
chapter1,例子,example,md,近世代数/近世代数/无标题/例子 1c4d2efa3f428049872dd61c51dda43e.md,1
chapter1,关系的定义 二元关系,definition,md,近世代数/近世代数/无标题/关系的定义 二元关系 1a7d2efa3f42802f89cbe2c78b33686d.md,2
chapter1,凯莱定理任何群都是同一个群的同构,theorem,md,近世代数/近世代数/无标题/凯莱定理任何群都是同一个群的同构 1b5d2efa3f42805cb494c5d6269c2742.md,4
chapter1,分类,note,md,近世代数/近世代数/无标题/分类 1a7d2efa3f428051977beee16bb06dae.md,2
chapter1,分类与关系,note,md,近世代数/近世代数/无标题/分类与关系 1aed2efa3f42802491cdeb2b56b5f1f7.md,0
chapter1,剩余类加群,note,md,近世代数/近世代数/无标题/剩余类加群 1aed2efa3f4280428135f1eab5e513d0.md,2
chapter1,加群定义,definition,md,近世代数/近世代数/无标题/加群定义 1ecd2efa3f4280c5a839d3c295d23a6b.md,2
chapter1,单位元,note,md,近世代数/近世代数/无标题/单位元 1aad2efa3f42804aa677fdb25912917d.md,0
chapter1,单位元唯一性证明,proof,md,近世代数/近世代数/无标题/单位元唯一性证明 1cad2efa3f428021acabe9e17d5b39d5.md,0
chapter1,单射满射,note,md,近世代数/近世代数/无标题/单射满射 1a1d2efa3f4280a7ab9bf96427741ce6.md,1
chapter1,变化群的意义,note,md,近世代数/近世代数/无标题/变化群的意义 1b7d2efa3f4280e3baffc1d56b67f68e.md,0
chapter1,变换群,note,md,近世代数/近世代数/无标题/变换群 1b5d2efa3f4280bc8c6bf24cc87fed3c.md,3
chapter1,变换群,note,md,近世代数/近世代数/无标题/变换群 1c3d2efa3f4280a3a416f8493ad4dae2.md,0
chapter1,变换群证明,proof,md,近世代数/近世代数/无标题/变换群证明 1b5d2efa3f42802e858cebf98bd17fd6.md,2
chapter1,只要不相连就可以快速求阶数而且有交换律,note,md,近世代数/近世代数/无标题/只要不相连就可以快速求阶数而且有交换律 1bcd2efa3f4280e9add2d922e72a6f5d.md,1
chapter1,右陪集的定义,definition,md,近世代数/近世代数/无标题/右陪集的定义 1c3d2efa3f428044a7f6c58dda5da09f.md,3
chapter1,同余关系 模n的剩余类,note,md,近世代数/近世代数/无标题/同余关系 模n的剩余类 1a8d2efa3f4280ffbd5ffb8a8131fb1b.md,1
chapter1,同态同构的意义,note,md,近世代数/近世代数/无标题/同态同构的意义 1cad2efa3f42801b93c4f525f7a94957.md,1
chapter1,同态的定义,definition,md,近世代数/近世代数/无标题/同态的定义 1a1d2efa3f428051bf6ddd4a0bc015cf.md,2
chapter1,同态的意义,note,md,近世代数/近世代数/无标题/同态的意义 1b5d2efa3f42801ba4aed9823eb1a0ae.md,2
chapter1,同构,note,md,近世代数/近世代数/无标题/同构 1a7d2efa3f4280a5b953fd47d4b69430.md,2
chapter1,命题1.11证明,proof,md,近世代数/近世代数/无标题/命题1 11证明 1cbd2efa3f4280679acbe2813bc3b4e4.md,1
chapter1,命题1.12特殊线性群是群,proposition,md,近世代数/近世代数/无标题/命题1 12特殊线性群是群 1cbd2efa3f4280bc9d1cfc2496d61576.md,1
chapter1,命题1.13群同态单位元对单位元逆元对逆元,proposition,md,近世代数/近世代数/无标题/命题1 13群同态单位元对单位元逆元对逆元 1cbd2efa3f4280048341d86cd285853a.md,1
chapter1,命题1.14,proposition,md,近世代数/近世代数/无标题/命题1 14 1cbd2efa3f4280569ab4d1fcc291e1bc.md,1
chapter1,命题1.17同态就是拆括号的游戏,proposition,md,近世代数/近世代数/无标题/命题1 17同态就是拆括号的游戏 1d1d2efa3f42800d9bf2efcc79be14a6.md,1
chapter1,命题1.3.3子群陪集要不然相等要不然无交,proposition,md,近世代数/近世代数/无标题/命题1 3 3子群陪集要不然相等要不然无交 1d2d2efa3f42806da9c1eaa41dc2aa66.md,2
chapter1,命题1.34 1.35嵌套子群的配集,proposition,md,近世代数/近世代数/无标题/命题1 34 1 35嵌套子群的配集 1d2d2efa3f428089be3ecd9b4c4dbf6c.md,1
